City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
182,Sao Filipe,14.8961,-24.4956,73.53,66,27,11.18,CV,2022-03-11 23:13:51,scattered clouds
183,Xingcheng,40.6167,120.7167,39.69,49,100,4.81,CN,2022-03-11 23:13:52,overcast clouds
184,Arica,-18.475,-70.3042,74.75,73,0,8.05,CL,2022-03-11 23:09:32,clear sky
185,Constitucion,-35.3333,-72.4167,61.02,76,0,6.04,CL,2022-03-11 23:13:52,clear sky
186,Kandi,11.1342,2.9386,86.88,14,41,3.85,BJ,2022-03-11 23:13:53,scattered clouds
187,Ahuimanu,21.4447,-157.8378,87.51,61,40,14.97,US,2022-03-11 23:13:53,scattered clouds
188,Korla,41.7597,86.1469,46.63,34,61,3.98,CN,2022-03-11 23:13:53,broken clouds
189,Pandan,14.0453,124.1694,77.9,89,96,6.42,PH,2022-03-11 23:13:54,overcast clouds
190,Whitecourt,54.1502,-115.6855,35.64,81,100,4.0,CA,2022-03-11 23:13:54,overcast clouds
191,Sal Rei,16.1833,-22.9167,70.57,77,3,21.54,CV,2022-03-11 23:13:55,clear sky
192,Tasiilaq,65.6145,-37.6368,32.16,83,100,24.4,GL,2022-03-11 23:13:55,overcast clouds
193,Corinto,37.9407,22.9573,38.41,72,59,1.86,GR,2022-03-11 23:13:55,broken clouds
194,Chipata,-13.6333,32.65,63.07,96,99,4.12,ZM,2022-03-11 23:13:56,overcast clouds
195,Fort Nelson,58.8053,-122.7002,17.4,91,100,5.37,CA,2022-03-11 23:13:56,light snow
196,Vestmanna,62.1564,-7.1664,43.72,87,100,28.77,FO,2022-03-11 23:13:57,overcast clouds
197,Thinadhoo,0.5333,72.9333,81.86,72,6,1.39,MV,2022-03-11 23:13:58,clear sky
198,The Valley,18.217,-63.0578,78.82,77,10,22.01,AI,2022-03-11 23:09:10,clear sky
199,Kiunga,-6.1219,141.2906,76.14,93,100,0.76,PG,2022-03-11 23:13:58,overcast clouds
200,Ambilobe,-13.2,49.05,72.82,96,100,2.1,MG,2022-03-11 23:13:59,overcast clouds
201,Ushtobe,45.2514,77.9838,47.93,90,100,12.44,KZ,2022-03-11 23:13:59,moderate rain
202,Balkhash,46.844,74.9804,28.65,88,100,10.22,KZ,2022-03-11 23:13:59,overcast clouds
203,Markova,48.6758,24.4138,16.27,81,66,3.6,UA,2022-03-11 23:14:00,broken clouds
204,Igarka,67.4667,86.5833,-22.45,100,99,5.3,RU,2022-03-11 23:14:00,overcast clouds
205,Yumen,40.2833,97.2,44.6,29,99,3.09,CN,2022-03-11 23:14:01,overcast clouds
206,Severo-Kurilsk,50.6789,156.125,32.14,93,100,3.51,RU,2022-03-11 23:14:01,light snow
207,Kodiak,57.79,-152.4072,42.31,81,100,9.22,US,2022-03-11 23:10:15,light rain
208,Maniitsoq,65.4167,-52.9,-7.83,95,64,7.63,GL,2022-03-11 23:14:02,broken clouds
