City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Pacific Grove,US,72.39,clear sky,36.6177,-121.9166,Lovers Point Inn
580,San Vicente,AR,63.61,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
581,Meulaboh,ID,76.44,overcast clouds,4.1363,96.1285,Kost Pria
584,Najran,SA,68.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
586,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
587,Port Pirie,AU,71.69,clear sky,-33.1833,138.0167,John Pirie Motor Inn
588,Puntilla Aldama,MX,82.42,scattered clouds,20.1833,-96.9167,Maison Couturier
589,Coxim,BR,78.03,moderate rain,-18.5067,-54.76,Hotel Avenida
590,Santa Rosa,PH,83.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
592,Esna,EG,55.08,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
594,Sonipat,IN,62.6,clear sky,28.9833,77.0167,Cozette Hotel Sonipat
596,Qingyuan,CN,64.38,few clouds,23.7,113.0333,Guojin Commercial Hotel
597,Kutum,SD,64.0,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
598,Banda Aceh,ID,78.01,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
599,Pinos Puente,ES,50.29,broken clouds,37.2511,-3.7497,HOTEL MONTE ELVIRA
601,Flinders,AU,67.28,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
602,Karema,TZ,70.83,overcast clouds,-6.8205,30.4389,املاك خالد الشعشوع
603,Sembe,CG,70.79,overcast clouds,1.6481,14.5806,املاك خالد الشعشوع
604,Ahipara,NZ,73.29,few clouds,-35.1667,173.1667,Ahipara Holiday Park
608,Birganj,NP,62.58,clear sky,27.0104,84.8774,Capital O 716 Hotel Vishuwa
609,Rosignol,GY,76.64,broken clouds,6.2833,-57.5333,Little Rock Suites
611,Wanning,CN,71.4,broken clouds,18.8003,110.3967,Paradise Hotel
612,Auki,SB,82.96,broken clouds,-8.7676,160.7034,Auki Motel
613,Samdari,IN,71.78,clear sky,25.8167,72.5833,Karnoba Ki Dhani
614,Port Hueneme,US,79.05,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
620,Riberalta,BO,80.8,overcast clouds,-10.9833,-66.1,Hotel Colonial
623,Nathdwara,IN,65.93,clear sky,24.9333,73.8167,Hotel Sudarshan
624,Bubaque,GW,75.63,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
625,Portland,US,62.67,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
628,Aswan,EG,56.82,clear sky,24.0934,32.907,Nuba Nile
629,Sigli,ID,77.11,broken clouds,5.3848,95.9609,Losmen Dua Mali
631,Angoche,MZ,79.07,moderate rain,-16.2325,39.9086,Guest House HESADA
632,San Quintin,MX,64.89,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
633,Kerman,IR,60.66,clear sky,30.2832,57.0788,هتل آپارتمان آسام
634,Pokhara,NP,62.67,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
637,Brokopondo,SR,76.57,broken clouds,4.75,-55.1667,Matu Island
639,Bria,CF,73.24,overcast clouds,6.5423,21.9863,WFP Guesthouse
640,Trairi,BR,75.61,overcast clouds,-3.2778,-39.2689,janelas do mar
641,Jibuti,DJ,71.15,broken clouds,11.5,42.5,Orchid Main Camp Goubet
642,Lang Son,VN,66.52,overcast clouds,21.8333,106.7333,Khai Nga Hotel
644,Coahuayana,MX,82.87,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
645,Vera Cruz,BR,71.78,overcast clouds,-12.6333,-41.0333,املاك خالد الشعشوع
646,Sendafa,ET,53.87,scattered clouds,9.15,39.0333,german hotel
650,Bachaquero,VE,79.3,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
651,Bom Jesus,BR,77.58,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
653,Sabang,ID,82.11,broken clouds,5.8933,95.3214,Hotel Citra
654,Zhoucheng,CN,52.61,broken clouds,35.9122,116.3117,Yingbin Restaurant
655,Banyo,CM,72.23,overcast clouds,6.75,11.8167,Motel JOMBA
656,Dayong,CN,63.43,clear sky,25.0209,118.2898,Haiyue Express Hotel
660,Samarai,PG,84.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
661,Metro,ID,75.07,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
663,Giddalur,IN,72.14,clear sky,15.35,78.9167,Shivaji Lodge
664,Leninskoye,KZ,50.31,heavy intensity rain,41.7589,69.3864,Leonid Rakhmanov
667,Kudahuvadhoo,MV,82.33,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
669,Agaro,ET,66.97,overcast clouds,7.85,36.65,املاك خالد الشعشوع
670,Nabire,ID,79.65,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
671,Msowero,TZ,69.3,broken clouds,-6.5333,37.2,املاك خالد الشعشوع
672,Aflao,TG,84.33,few clouds,6.116,1.1914,Hotel LeBenin
675,Bonthe,SL,77.5,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
676,Quelimane,MZ,79.21,overcast clouds,-17.8786,36.8883,Hotel Flamingo
677,Plettenberg Bay,ZA,70.99,light rain,-34.0527,23.3716,Thanda Vista B&B
678,Pital,CO,73.71,light rain,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
679,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
681,Kinkala,CG,72.23,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
686,Waipawa,NZ,68.59,broken clouds,-41.4122,175.5153,Tora Coastal Walk
688,Port-Gentil,GA,82.18,overcast clouds,-0.7193,8.7815,Fengshui Residence
689,Laredo,US,59.25,dust,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
691,Qeshm,IR,75.09,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
693,Wanaka,NZ,66.11,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
694,Lakatoro,VU,83.89,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
695,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
696,Taoudenni,ML,70.92,clear sky,22.6783,-3.9836,املاك خالد الشعشوع
697,Ternate,ID,81.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
698,Isabela,PH,78.85,broken clouds,6.7085,121.9711,Isawad Resort
699,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
700,Komsomolskiy,UZ,50.72,mist,40.4272,71.7189,Ikathouse
702,Abha,SA,58.82,clear sky,18.2164,42.5053,Abha Hotel
706,Piacabucu,BR,78.69,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
707,Honiara,SB,82.36,overcast clouds,-9.4333,159.95,Heritage Park Hotel
708,Mazarron,ES,57.43,overcast clouds,37.5992,-1.3149,Apartamentos Oasis de las Palmeras
709,Mahanoro,MG,75.16,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
