City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,Crotone,39.0851,17.1178,46.49,87,40,3.44,IT,2022-03-06 19:39:50
339,Igurubi,-4.0,33.7,70.95,69,100,7.18,TZ,2022-03-06 19:39:51
340,Daru,-9.0763,143.2092,76.39,94,100,10.8,PG,2022-03-06 19:39:51
341,Banda Aceh,5.5577,95.3222,78.78,83,97,4.7,ID,2022-03-06 19:39:52
342,Trairi,-3.2778,-39.2689,80.04,77,100,9.01,BR,2022-03-06 19:39:52
343,Edd,13.9297,41.6925,82.35,42,27,20.13,ER,2022-03-06 19:39:52
344,Kruisfontein,-34.0033,24.7314,76.89,60,100,1.95,ZA,2022-03-06 19:39:53
345,Lata,40.1629,-8.3327,52.81,68,11,3.13,PT,2022-03-06 19:39:53
346,Eureka,40.8021,-124.1637,56.68,73,0,5.99,US,2022-03-06 19:39:54
347,Angoram,-4.0625,144.0661,73.18,99,100,1.07,PG,2022-03-06 19:39:54
348,Beri,25.9031,79.8902,67.53,36,100,6.67,IN,2022-03-06 19:39:54
349,Samagaltay,50.6022,95.0047,10.78,88,100,3.56,RU,2022-03-06 19:39:55
350,Qaqortoq,60.7167,-46.0333,21.7,90,100,4.47,GL,2022-03-06 19:39:55
351,Cuamba,-14.8031,36.5372,69.06,96,23,1.03,MZ,2022-03-06 19:39:56
352,Kahului,20.8947,-156.47,78.06,50,0,5.75,US,2022-03-06 19:39:56
353,Byron Bay,-28.65,153.6167,71.55,92,36,5.77,AU,2022-03-06 19:39:56
354,Cabo San Lucas,22.8909,-109.9124,81.7,49,0,4.61,MX,2022-03-06 19:35:36
355,Lompoc,34.6391,-120.4579,63.7,49,0,18.99,US,2022-03-06 19:39:57
356,Paamiut,61.994,-49.6678,19.63,94,100,8.19,GL,2022-03-06 19:39:57
357,Hervey Bay,-25.2986,152.8535,73.51,83,99,3.22,AU,2022-03-06 19:39:58
358,Brae,60.3964,-1.353,42.71,73,100,17.43,GB,2022-03-06 19:39:58
359,Nigde,37.8333,34.75,26.91,85,30,2.84,TR,2022-03-06 19:39:58
360,Rawson,-43.3002,-65.1023,77.76,26,24,13.53,AR,2022-03-06 19:39:59
361,Sinnamary,5.3833,-52.95,76.01,88,100,12.91,GF,2022-03-06 19:39:59
362,Dakar,14.6937,-17.4441,72.48,77,69,11.5,SN,2022-03-06 19:38:29
363,Saint-Georges,12.0564,-61.7485,83.88,58,40,20.71,GD,2022-03-06 19:40:00
364,Matehuala,23.65,-100.65,83.71,13,0,9.22,MX,2022-03-06 19:40:00
365,Bathsheba,13.2167,-59.5167,83.01,61,75,24.16,BB,2022-03-06 19:40:01
366,Bambous Virieux,-20.3428,57.7575,80.85,83,75,14.97,MU,2022-03-06 19:40:01
367,Tolaga Bay,-38.3667,178.3,63.93,67,85,1.92,NZ,2022-03-06 19:41:02
368,Baykit,61.67,96.37,-7.69,99,100,3.85,RU,2022-03-06 19:41:02
369,Alice Springs,-23.7,133.8833,72.95,43,39,8.05,AU,2022-03-06 19:41:03
370,Amahai,-3.3333,128.9167,77.49,90,100,4.63,ID,2022-03-06 19:41:03
371,Luanda,-8.8368,13.2343,80.6,83,75,8.05,AO,2022-03-06 19:41:03
372,Chincholi,17.4667,77.4333,77.07,36,20,8.34,IN,2022-03-06 19:41:04
373,Vernon,50.2581,-119.2691,46.13,59,93,2.3,CA,2022-03-06 19:40:09
374,Sangin,32.0728,64.8359,58.12,61,3,5.57,AF,2022-03-06 19:41:04
375,Morehead,37.2711,-87.1764,66.15,97,100,1.01,US,2022-03-06 19:41:05
376,Birao,10.2849,22.7882,84.54,12,39,6.24,CF,2022-03-06 19:41:05
377,Yurty,56.0498,97.6348,34.27,82,100,12.21,RU,2022-03-06 19:41:06
378,Tieli,46.95,128.05,3.61,98,99,2.95,CN,2022-03-06 19:41:06
379,Guangyuan,32.442,105.823,51.1,72,0,2.64,CN,2022-03-06 19:41:06
380,Patiya,22.2931,91.9762,61.97,51,5,4.47,BD,2022-03-06 19:41:07
381,Kovernino,57.1253,43.8142,21.65,97,100,3.24,RU,2022-03-06 19:41:07
382,Grand Gaube,-20.0064,57.6608,81.0,83,100,7.0,MU,2022-03-06 19:41:08
383,Kamina,-8.7386,24.9906,64.74,93,95,2.13,CD,2022-03-06 19:41:08
384,Sistranda,63.7256,8.834,41.9,82,100,32.55,NO,2022-03-06 19:41:09
385,Vilhena,-12.7406,-60.1458,75.42,88,75,8.05,BR,2022-03-06 19:41:09
386,Nelson Bay,-32.7167,152.15,73.99,97,100,1.01,AU,2022-03-06 19:41:10
387,Shamary,57.3434,58.2199,-7.28,99,61,2.84,RU,2022-03-06 19:41:10
388,Baiyin,36.5583,104.2081,23.88,40,0,2.77,CN,2022-03-06 19:41:10
389,Carinhanha,-14.3047,-43.765,82.09,51,12,7.05,BR,2022-03-06 19:41:11
390,Brusque,-27.0981,-48.9175,93.45,60,15,6.08,BR,2022-03-06 19:41:11
391,Yiyang,28.5892,112.3283,47.28,93,28,6.02,CN,2022-03-06 19:36:23
392,Praia,14.9215,-23.5087,72.14,64,20,21.85,CV,2022-03-06 19:38:18
393,Pospelikha,51.95,81.7667,36.9,95,100,27.07,RU,2022-03-06 19:41:12
394,Lavrentiya,65.5833,-171.0,1.27,92,100,7.74,RU,2022-03-06 19:41:12
395,Knysna,-34.0363,23.0471,73.78,58,100,2.84,ZA,2022-03-06 19:41:13
396,Bama,11.5221,13.6856,88.75,13,23,9.1,NG,2022-03-06 19:41:13
397,Grand-Santi,4.25,-54.3833,74.05,98,100,2.82,GF,2022-03-06 19:41:13
398,Giyani,-23.3025,30.7187,74.03,74,78,9.06,ZA,2022-03-06 19:41:14
399,Musoma,-1.5,33.8,75.22,83,20,0.0,TZ,2022-03-06 19:41:14
400,Coolum Beach,-26.5333,153.1,68.34,89,95,3.85,AU,2022-03-06 19:41:14
401,Calama,-22.4667,-68.9333,73.89,40,20,27.63,CL,2022-03-06 19:41:15
402,Labuhan,-6.8844,112.2051,80.1,89,100,6.2,ID,2022-03-06 19:41:15
403,Leningradskiy,69.3833,178.4167,-25.13,97,29,5.06,RU,2022-03-06 19:41:16
404,Marfino,55.7028,37.3822,29.48,54,75,13.42,RU,2022-03-06 19:41:16
405,Surt,31.2089,16.5887,58.06,68,0,10.42,LY,2022-03-06 19:41:16
406,Sioux Lookout,50.1001,-91.917,26.98,43,100,9.22,CA,2022-03-06 19:41:17
407,Tura,25.5198,90.2201,65.73,37,0,4.9,IN,2022-03-06 19:41:17
408,Riyadh,24.6877,46.7219,75.34,27,91,13.51,SA,2022-03-06 19:39:29
409,Olinda,-8.0089,-34.8553,83.93,70,40,12.66,BR,2022-03-06 19:41:18
